,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value
2948,11.195444330894782,11.289969230769232,57.407407407407334,0.16886121278837507,59.441799224327184,53.5854877839574,0.39639777536893406,2011-07-21,9771930.0
2949,11.251179382364414,11.353538461538461,75.35612535612529,0.2011644478908483,61.31262110084668,54.35820111564633,0.39522650569972456,2011-07-22,9771930.0
2950,11.27647327602869,11.385107692307692,74.66168091168089,0.19705827085841854,55.10767274768943,54.433148278850645,0.3941388981497443,2011-07-25,9771930.0
2951,11.280590716334176,11.392984615384616,58.92094017094015,0.17165248234744546,51.019142470670786,54.09174769803266,0.3909861197104768,2011-07-26,9771930.0
2952,11.23592989200078,11.349076923076922,33.34694989106753,0.09953509838759445,42.46835994175251,52.92940892240465,0.41948711115972853,2011-07-27,9771930.0
2953,11.182396823385334,11.29323076923077,14.596949891067519,0.02913503860836464,40.606969816079356,51.697165011772114,0.41809517464831936,2011-07-28,9771930.0
2954,11.204520144663386,11.309692307692307,24.697959992077653,0.04783430757212237,53.39380837274511,51.86682934786941,0.48608837645915365,2011-07-29,9771930.0
2955,11.235710902766204,11.334953846153846,44.68352160659854,0.0731077028278051,54.96562405748867,52.176708818831344,0.49708206385492826,2011-08-01,9771930.0
2956,11.177579294861111,11.2712,45.86695355926127,0.0019332096198336757,42.50514821038978,51.20955275798719,0.5501476307224333,2011-08-02,9771930.0
2957,11.146227041410258,11.231076923076923,33.97382876291065,-0.030718409954729964,45.895032269459385,50.678100709134405,0.5565656570994024,2011-08-03,9771930.0
2958,11.038055730532546,11.112584615384616,11.191133602593126,-0.1381153379979949,37.44951913504463,49.35524255172543,0.5939538244494451,2011-08-04,9771930.0
2959,10.914359135876198,10.975507692307692,14.147135201128641,-0.24541361110314064,35.3415918671663,47.953877483269515,0.6179571227030561,2011-08-05,9771930.0
2960,10.72863920234726,10.772892307692308,6.242816062104281,-0.4008705075689587,29.903597505476114,46.148849485490175,0.6516744710814093,2011-08-08,9771930.0
2961,10.615666956012857,10.636215384615385,13.688505169235384,-0.4574721158248689,38.263648605107136,45.36032939745187,0.6672691517184515,2011-08-09,9771930.0
2962,10.48600026708879,10.479353846153845,14.765694076038903,-0.5229295340786457,36.2424200596911,44.448538463675796,0.6660356408814193,2011-08-10,9771930.0
